activity	segment	subject	average_mean	average_std
LAYING	test	223	-0.508978138027273	0.00298777574024238
LAYING	test	224	-0.508004006090909	0.00324068141734908
LAYING	test	225	-0.508385068469697	0.00334063250296542
LAYING	test	226	-0.508946037442424	0.00331489873553712
LAYING	test	227	-0.505013201848485	0.0130417398051457
LAYING	test	355	-0.37898258819697	0.175178873879344
LAYING	test	356	-0.45640688	0.0414841068092491
LAYING	test	357	-0.49997311680303	0.0275124004474655
LAYING	test	358	-0.509849912351515	0.00885293557410244
LAYING	test	359	-0.512715149260606	0.00760993971243734
LAYING	test	360	-0.512377483706061	0.00643512700016016
LAYING	test	361	-0.511878837284849	0.0068301851473455
LAYING	test	362	-0.511948378606061	0.0068095029794608
LAYING	test	363	-0.512070721690909	0.00688553144067784
LAYING	test	364	-0.51158928749697	0.00771464623197913
LAYING	test	365	-0.511853910181818	0.00821854849100802
LAYING	test	366	-0.511103693515152	0.00709846406011892
LAYING	test	367	-0.511528202527273	0.00779525992034088
LAYING	test	368	-0.513193195884848	0.00854826836679869
LAYING	test	369	-0.509569241242424	0.00875170989650335
LAYING	test	370	-0.483706850827273	0.0219454851393635
LAYING	test	371	-0.385044338424242	0.0964510876475724
LAYING	test	372	-0.435859575099697	0.059836321964786
LAYING	test	373	-0.49830353549697	0.0192631967444475
LAYING	test	374	-0.511357524454545	0.0106660150447623
LAYING	test	375	-0.512490276506061	0.00785772041229598
LAYING	test	376	-0.511330461281818	0.00887810719181917
LAYING	test	377	-0.510822749862727	0.00906043226329359
LAYING	test	378	-0.510989483590909	0.00831590188617233
LAYING	test	379	-0.511194469352121	0.00728286520627077
LAYING	test	380	-0.511916938369697	0.00739742217387304
LAYING	test	381	-0.512452324966667	0.00729097522813176
LAYING	test	382	-0.511435100939394	0.00789869052723573
LAYING	test	383	-0.511921404781818	0.00714466137729648
LAYING	test	384	-0.506026701054546	0.0116552742545765
LAYING	test	521	-0.355154565275758	0.314390892239634
LAYING	test	522	-0.466686890454545	0.0383670894890983
LAYING	test	523	-0.501514131680303	0.0310805357522287
LAYING	test	524	-0.497520015636364	0.02500894018058
LAYING	test	525	-0.480463615272727	0.0437309635256969
LAYING	test	526	-0.487810670466667	0.0395365529985531
LAYING	test	527	-0.512455346545455	0.00864631152106845
LAYING	test	528	-0.51667210130303	0.00693950636141993
LAYING	test	529	-0.515052648060606	0.00701837835813941
LAYING	test	530	-0.515260119239091	0.00867184809751974
LAYING	test	531	-0.515561094072727	0.00875603888711307
LAYING	test	532	-0.500982213384848	0.0366263188597554
LAYING	test	533	-0.400914313393939	0.17760957171004
LAYING	test	534	-0.479099415575758	0.0482446810093307
LAYING	test	535	-0.50698665622597	0.0274173104060248
LAYING	test	536	-0.51622747900303	0.0122160128396084
LAYING	test	537	-0.518170779460606	0.00590830150235134
LAYING	test	538	-0.518270181793939	0.00723451232800462
LAYING	test	539	-0.517677177715152	0.00767892579794184
LAYING	test	540	-0.517452894881818	0.00802279400652176
LAYING	test	541	-0.517587666475758	0.00810867719852229
LAYING	test	542	-0.518845538990909	0.00796164709301586
LAYING	test	543	-0.518223489093939	0.00755920121087724
LAYING	test	544	-0.516233492066667	0.00808377643609947
LAYING	test	667	-0.383919035757576	0.363455920032934
LAYING	test	668	-0.45082341459697	0.0631775927855759
LAYING	test	669	-0.460411236072727	0.0564276352241009
LAYING	test	670	-0.490574301818182	0.0261983071467188
LAYING	test	671	-0.505635597418182	0.0164880787050404
LAYING	test	672	-0.518010566563636	0.0257553070189259
LAYING	test	673	-0.523394233066667	0.0089171972459703
LAYING	test	674	-0.515362147390909	0.0128087064860824
LAYING	test	675	-0.514552292606061	0.01381312599713
LAYING	test	676	-0.524872231260606	0.00685911551949688
LAYING	test	677	-0.526428922218182	0.00363787085278666
LAYING	test	678	-0.523662448236364	0.00506810183139696
LAYING	test	679	-0.445464062230303	0.09839797131477
LAYING	test	680	-0.497548099651515	0.0483423962651013
LAYING	test	681	-0.517737600854545	0.0298805216592061
LAYING	test	682	-0.523089542890909	0.0196790227904938
LAYING	test	683	-0.523365118878788	0.0160502819589744
LAYING	test	684	-0.49213011960303	0.03768348298257
LAYING	test	685	-0.488414428730303	0.0304024483519208
LAYING	test	686	-0.507731634539394	0.0274153658903169
LAYING	test	687	-0.486123899636364	0.0294421080103669
LAYING	test	688	-0.492414203948485	0.0317292350768736
LAYING	test	689	-0.520080518736364	0.0171442540478572
LAYING	test	690	-0.526013351715152	0.0163113454044536
LAYING	test	812	-0.509220852651515	0.0401646427284467
LAYING	test	813	-0.523396556651515	0.0254587220223851
LAYING	test	814	-0.526019603287879	0.010594835880867
LAYING	test	815	-0.522185627212121	0.0114340563396044
LAYING	test	816	-0.509263833306061	0.0169605899729817
LAYING	test	817	-0.493693456484848	0.0413936252115813
LAYING	test	818	-0.492963691454545	0.0449218529899706
LAYING	test	819	-0.508630543454546	0.0238651529937015
LAYING	test	820	-0.520685810930909	0.0169268314307858
LAYING	test	821	-0.531206638363636	0.012218875939887
LAYING	test	822	-0.53452583430303	0.0148029227683204
LAYING	test	823	-0.525139468769697	0.0583986701158137
LAYING	test	824	-0.531135494033333	0.0396493039464591
LAYING	test	825	-0.533759892712121	0.0184425507297013
LAYING	test	826	-0.528184544242424	0.0123674843384808
LAYING	test	827	-0.511096858642424	0.043904062566891
LAYING	test	828	-0.515469818978788	0.0463066009103467
LAYING	test	829	-0.524572388942424	0.046744495886304
LAYING	test	830	-0.53104295150303	0.0214733821067425
LAYING	test	831	-0.498524580515152	0.0320139125440138
LAYING	test	832	-0.499710389424242	0.0314355279029786
LAYING	test	833	-0.530634580260606	0.0113291690816653
LAYING	test	834	-0.531928582378788	0.0156927546683662
LAYING	test	835	-0.513331140442424	0.0183552265710091
LAYING	test	836	-0.494317813521212	0.0297497389235744
LAYING	test	837	-0.504143987242424	0.0295673705363917
LAYING	test	955	-0.361575055636364	0.131282870604908
LAYING	test	956	-0.479747170064848	0.0417544900358241
LAYING	test	957	-0.507824322248485	0.0138046227976144
LAYING	test	958	-0.515014447783939	0.00532596280888298
LAYING	test	959	-0.51685128749697	0.0034073151869649
LAYING	test	960	-0.516535870109091	0.0033066527789652
LAYING	test	961	-0.516163384857576	0.00290107845877403
LAYING	test	962	-0.516394533772727	0.00295897664438155
LAYING	test	963	-0.516070993484849	0.00414557895879012
LAYING	test	964	-0.516344653636364	0.00479781920425928
LAYING	test	965	-0.516382670933333	0.00279516759505094
LAYING	test	966	-0.515700587221212	0.00320547841915336
LAYING	test	967	-0.515222378157576	0.00362049535862508
LAYING	test	968	-0.514591163863636	0.00380147705492421
LAYING	test	969	-0.514681947899091	0.00445078886265901
LAYING	test	970	-0.320917399545455	0.356666909434136
LAYING	test	971	-0.483597139233333	0.110411684824946
LAYING	test	972	-0.546649554742424	0.0282983755349639
LAYING	test	973	-0.561013318164848	0.0246849032223039
LAYING	test	974	-0.575384794384848	0.0153638311900987
LAYING	test	975	-0.57498795870303	0.0215179499632652
LAYING	test	976	-0.575173985848485	0.0336231173177246
LAYING	test	977	-0.575428749609091	0.0230063259383151
LAYING	test	978	-0.572462760515152	0.0149365785194115
LAYING	test	979	-0.575897015930303	0.00954947859626263
LAYING	test	980	-0.580276815060606	0.00471866594233147
LAYING	test	981	-0.58014538620303	0.00514400561984936
LAYING	test	982	-0.579626504327273	0.00537889691979923
LAYING	test	983	-0.579993771890909	0.00740994275180346
LAYING	test	984	-0.581194514518182	0.00450061747731378
LAYING	test	985	-0.560566800515152	0.0477804201341262
LAYING	test	1106	-0.505541086536364	0.0663578685264985
LAYING	test	1107	-0.553708228060606	0.0377033434859673
LAYING	test	1108	-0.543824827930303	0.0268303954736812
LAYING	test	1109	-0.548193544587879	0.0280418737506781
LAYING	test	1110	-0.562583546330303	0.00895570679248809
LAYING	test	1111	-0.563349393727273	0.0084716133125766
LAYING	test	1112	-0.550749590284848	0.0236674778436286
LAYING	test	1113	-0.549079279306061	0.0224136918637437
LAYING	test	1114	-0.558396937221212	0.0142603320476457
LAYING	test	1115	-0.56138023908697	0.0126307192975632
LAYING	test	1116	-0.522519187484848	0.0652114584780518
LAYING	test	1117	-0.562368147242424	0.0301102880134194
LAYING	test	1118	-0.562591145445455	0.0143443878987736
LAYING	test	1119	-0.564648751515151	0.0114851510474239
LAYING	test	1120	-0.564097827521212	0.00981987615345553
LAYING	test	1121	-0.555850761424242	0.0174863386488214
LAYING	test	1122	-0.55872780170303	0.018174945346724
LAYING	test	1123	-0.568429901421212	0.00834113123451434
LAYING	test	1124	-0.568933113875758	0.00793334051928922
LAYING	test	1125	-0.566745192550909	0.00966703215080194
LAYING	test	1126	-0.56742184149697	0.0107544008089864
LAYING	test	1127	-0.569692811478788	0.00863795996179001
LAYING	test	1128	-0.565746477215151	0.00913409772744425
LAYING	test	1129	-0.563103044778788	0.0103310024835189
LAYING	test	1130	-0.567146721087879	0.00823777517167224
LAYING	test	1131	-0.570561933	0.00681700122454847
LAYING	test	1132	-0.567931881539394	0.00805958871696719
LAYING	test	1257	-0.339649046302424	0.376254907312587
LAYING	test	1258	-0.448409730606061	0.0417589728892991
LAYING	test	1259	-0.477714543248485	0.0377371451858625
LAYING	test	1260	-0.492758306436364	0.0235765082104641
LAYING	test	1261	-0.497697822757576	0.0125582504497469
LAYING	test	1262	-0.496646667442424	0.0157781226837582
LAYING	test	1263	-0.492778207636364	0.015489225345523
LAYING	test	1264	-0.482370007424242	0.019282364160351
LAYING	test	1265	-0.472565506257576	0.0196945443729698
LAYING	test	1266	-0.475359150887879	0.0160296103767229
LAYING	test	1267	-0.484518919575758	0.0110775716412678
LAYING	test	1268	-0.491968230121212	0.0210311081636507
LAYING	test	1269	-0.499845790778788	0.020126235800118
LAYING	test	1270	-0.501662718909091	0.0153580739751204
LAYING	test	1271	-0.445767591212121	0.0489613018473464
LAYING	test	1272	-0.486433854663636	0.0292772688208455
LAYING	test	1273	-0.498458402287879	0.0188947152284766
LAYING	test	1274	-0.508419517487879	0.00983892794825201
LAYING	test	1275	-0.507657851669697	0.01461300818891
LAYING	test	1276	-0.502546203147273	0.0189446967214681
LAYING	test	1277	-0.503270069445455	0.0227197925368542
LAYING	test	1278	-0.508949902587879	0.00962812902329013
LAYING	test	1279	-0.506324734575758	0.0100704405840524
LAYING	test	1280	-0.50470299769697	0.0142659463977712
LAYING	test	1281	-0.503922378442424	0.0091281506471002
LAYING	test	1282	-0.499468412333333	0.0109977426381657
LAYING	test	1283	-0.502501331787879	0.00977946336694818
LAYING	test	1420	-0.426135432651515	0.0598753300576303
LAYING	test	1421	-0.482899670724242	0.0284492361249527
LAYING	test	1422	-0.479653582393939	0.0301849728809786
LAYING	test	1423	-0.483809389878788	0.0306879970259986
LAYING	test	1424	-0.505140061066667	0.0236374499053204
LAYING	test	1425	-0.515713038375758	0.00518284086243734
LAYING	test	1426	-0.512684713015152	0.00902223831124152
LAYING	test	1427	-0.510688742684849	0.0110728692947139
LAYING	test	1428	-0.516328514458849	0.00725136336171391
LAYING	test	1429	-0.523129025090909	0.00306785609001351
LAYING	test	1430	-0.514584272454545	0.0115647303074504
LAYING	test	1431	-0.511401825606061	0.0116110731323072
LAYING	test	1432	-0.518483069784848	0.00585495216917498
LAYING	test	1433	-0.524286301254545	0.00529819405517113
LAYING	test	1434	-0.513378237039091	0.0145743592875521
LAYING	test	1435	-0.510599052809091	0.0154617734971208
LAYING	test	1436	-0.517717238090909	0.00974903324584282
LAYING	test	1437	-0.51462470980303	0.00929290854634298
LAYING	test	1438	-0.420928953060606	0.0448611030776176
LAYING	test	1439	-0.471713331454545	0.0295574598854455
LAYING	test	1440	-0.506336750160606	0.018324040746692
LAYING	test	1441	-0.51752131569697	0.00982472136249641
LAYING	test	1442	-0.508492608854545	0.0169602686977064
LAYING	test	1443	-0.511412819878788	0.0180122752786374
LAYING	test	1444	-0.52956932979697	0.00647549049774116
LAYING	test	1445	-0.529299118909091	0.00418243740899067
LAYING	test	1446	-0.528917738845455	0.00245164725021832
LAYING	test	1447	-0.528882365893939	0.00277908039174945
LAYING	test	1448	-0.527944259830303	0.00277759959757123
LAYING	test	1449	-0.522981643070909	0.0086952324726265
LAYING	test	1450	-0.522780168969697	0.00803380613529786
LAYING	test	1451	-0.523881765954545	0.00837680366512002
LAYING	test	1452	-0.523200578642424	0.00882718560785872
LAYING	test	1573	-0.42891123330303	0.128178614782089
LAYING	test	1574	-0.482681912406061	0.0403480820231046
LAYING	test	1575	-0.495573816254545	0.022933828030914
LAYING	test	1576	-0.499750931884848	0.0126950957097499
LAYING	test	1577	-0.50200742969697	0.0103188694443701
LAYING	test	1578	-0.503136846636364	0.00881689729081125
LAYING	test	1579	-0.500000902360606	0.0163512922841545
LAYING	test	1580	-0.498395066212121	0.0183665421453213
LAYING	test	1581	-0.499940361354545	0.0147558339994386
LAYING	test	1582	-0.499927352206061	0.0138228113035764
LAYING	test	1583	-0.500040355272727	0.0133361698784284
LAYING	test	1584	-0.501230704151515	0.011032598756137
LAYING	test	1585	-0.5027634664	0.00867728437792527
LAYING	test	1586	-0.480768236448485	0.0312053474894071
LAYING	test	1587	-0.419018467272727	0.201287600529846
LAYING	test	1588	-0.475502154606061	0.0632899750318571
LAYING	test	1589	-0.492760224675758	0.0228829016059147
LAYING	test	1590	-0.488617598830303	0.0253145901875133
LAYING	test	1591	-0.487721676739394	0.0216304314432455
LAYING	test	1592	-0.498851987560606	0.016491102582258
LAYING	test	1593	-0.497037210748485	0.017221302420012
LAYING	test	1594	-0.496334445251515	0.0159558272938352
LAYING	test	1595	-0.498113009848485	0.0130033269602733
LAYING	test	1596	-0.497194030412121	0.0157507328631129
LAYING	test	1597	-0.497434141293939	0.0184323312479326
LAYING	test	1598	-0.4960814407	0.0206892430196215
LAYING	test	1599	-0.496728799912121	0.0216587939169504
LAYING	test	1600	-0.497855543636364	0.0194868577218135
LAYING	test	1601	-0.497612024113636	0.0178771639434435
LAYING	test	1602	-0.492590922424242	0.0222077204985963
LAYING	test	1603	-0.489917385772727	0.0188583412279421
LAYING	test	1604	-0.490250075609091	0.0143036938330812
LAYING	test	1605	-0.438831499354545	0.102841875572633
LAYING	test	1749	-0.440340619515152	0.108913352006113
LAYING	test	1750	-0.500866354557576	0.0265899021963741
LAYING	test	1751	-0.510544965033333	0.0080659186021372
LAYING	test	1752	-0.511787743936364	0.00259774616607176
LAYING	test	1753	-0.512269519588788	0.00273761079342134
LAYING	test	1754	-0.510727652372727	0.00321167028195743
LAYING	test	1755	-0.509895731221212	0.00319817667038743
LAYING	test	1756	-0.509794057893333	0.00402199709048468
LAYING	test	1757	-0.50994086149697	0.00363504444022528
LAYING	test	1758	-0.510316577009091	0.00361300780546925
LAYING	test	1759	-0.510853588715152	0.00375610571014112
LAYING	test	1760	-0.511374840339394	0.00340137989920484
LAYING	test	1761	-0.511480247866667	0.0032271985702871
LAYING	test	1762	-0.457623922484849	0.0453959026832018
LAYING	test	1763	-0.493846437606061	0.0308786730751542
LAYING	test	1764	-0.508138658011758	0.0113194966446765
LAYING	test	1765	-0.512659306909091	0.00380161467166292
LAYING	test	1766	-0.512397295151515	0.00362117521974574
LAYING	test	1767	-0.510505504475455	0.00349272527863266
LAYING	test	1768	-0.510157856912121	0.00394605218024157
LAYING	test	1769	-0.511028870551515	0.00368186697811802
LAYING	test	1770	-0.507091658693939	0.0108484378838066
LAYING	test	1771	-0.499326111942424	0.0126554406715988
LAYING	test	1772	-0.499297073360606	0.0112998787029043
LAYING	test	1773	-0.504963581833333	0.00551661896511597
LAYING	test	1774	-0.50646811790303	0.00492077370068803
LAYING	test	1775	-0.483767387969697	0.0351894194878577
LAYING	test	1776	-0.482821886169697	0.0336408269300104
LAYING	test	1777	-0.485181448969697	0.0270268644391265
LAYING	test	1919	-0.494951189878788	0.0277776101198315
LAYING	test	1920	-0.505345271436364	0.010251129333964
LAYING	test	1921	-0.510316781869697	0.00248798961156267
LAYING	test	1922	-0.51121024930303	0.00258702699443913
LAYING	test	1923	-0.509943273909091	0.00300181785668815
LAYING	test	1924	-0.510315131681818	0.00272612760977051
LAYING	test	1925	-0.510961430021212	0.00224787413542929
LAYING	test	1926	-0.510362183319697	0.00254429462212984
LAYING	test	1927	-0.510626577760606	0.00303944656970307
LAYING	test	1928	-0.510340217403939	0.00292933706156505
LAYING	test	1929	-0.509737120598788	0.00334846964343702
LAYING	test	1930	-0.510258560730303	0.00305534818817444
LAYING	test	1931	-0.509697140366667	0.00248881045403266
LAYING	test	1932	-0.510720064166667	0.0020968584526029
LAYING	test	1933	-0.511045745936364	0.00256479661897118
LAYING	test	1934	-0.503686442278788	0.01685805592145
LAYING	test	1935	-0.509290430118182	0.00468929451730514
LAYING	test	1936	-0.50913504079697	0.00326288682776536
LAYING	test	1937	-0.508809847384848	0.00322250983891257
LAYING	test	1938	-0.508412386109091	0.00232608313186522
LAYING	test	1939	-0.506894333845455	0.0032131402783586
LAYING	test	1940	-0.507588682360606	0.00300751544292302
LAYING	test	1941	-0.508191462987879	0.00311011324073855
LAYING	test	1942	-0.508476977412121	0.0035296648437661
LAYING	test	1943	-0.508880955390909	0.00338361850506752
LAYING	test	1944	-0.508369144527273	0.00291974263308531
LAYING	test	1945	-0.508577545166667	0.00308028873329523
LAYING	test	1946	-0.508346570545455	0.00310117940796323
LAYING	test	1947	-0.507603100466667	0.00349128826325429
LAYING	test	1948	-0.508370011251515	0.0033208790914475
LAYING	test	1949	-0.507287393563636	0.00314261603524185
LAYING	test	1950	-0.506981001469697	0.00316038292519577
LAYING	test	2097	-0.487030307384848	0.0323228660765501
LAYING	test	2098	-0.499913975730303	0.022322201046732
LAYING	test	2099	-0.505647413093939	0.00596400153652539
LAYING	test	2100	-0.504789399330303	0.00323304187563523
LAYING	test	2101	-0.501616960126061	0.00662954447660005
LAYING	test	2102	-0.501636219324242	0.00723774021858905
LAYING	test	2103	-0.503563891099091	0.00418074496441676
LAYING	test	2104	-0.504492344842424	0.00452672025901896
LAYING	test	2105	-0.504403771042424	0.00540729749277466
LAYING	test	2106	-0.505519354430303	0.00491691325412872
LAYING	test	2107	-0.505847587009091	0.00540250878666219
LAYING	test	2108	-0.503851042472727	0.007688232148378
LAYING	test	2109	-0.503906911557576	0.00621182421910275
LAYING	test	2110	-0.504211241339394	0.00489451295174513
LAYING	test	2111	-0.504037849666667	0.00529531652081664
LAYING	test	2112	-0.504180594018182	0.00487607027044669
LAYING	test	2113	-0.473502858515152	0.0345380199264533
LAYING	test	2114	-0.4942583717	0.0222347902412413
LAYING	test	2115	-0.5014940016	0.00723411877313151
LAYING	test	2116	-0.501753539354545	0.0050439777055296
LAYING	test	2117	-0.492309888827273	0.00947817382927548
LAYING	test	2118	-0.494100591181818	0.0109943665764196
LAYING	test	2119	-0.503838193169697	0.00431074727480834
LAYING	test	2120	-0.502055969848485	0.00449111780067197
LAYING	test	2121	-0.500119064848485	0.00717008143336331
LAYING	test	2122	-0.499966769860606	0.00709334442383348
LAYING	test	2123	-0.500891938344242	0.00683126101236444
LAYING	test	2124	-0.500126958636364	0.00621328118326788
LAYING	test	2125	-0.500883905781818	0.00561345418440514
LAYING	test	2126	-0.501016339336364	0.00625193612562309
LAYING	test	2127	-0.501388289648485	0.00602607044775819
LAYING	test	2128	-0.501048221218182	0.00704096168310433
LAYING	test	2129	-0.498637002927273	0.00796967064115501
LAYING	test	2287	-0.390545469787879	0.399194883647679
LAYING	test	2288	-0.480374268875758	0.0417520455854315
LAYING	test	2289	-0.503545803939394	0.0235264576666036
LAYING	test	2290	-0.516975203121212	0.0140473759825649
LAYING	test	2291	-0.5187888955	0.00359402770658035
LAYING	test	2292	-0.519042275936364	0.00415371359242546
LAYING	test	2293	-0.513403888727273	0.00658595600169166
LAYING	test	2294	-0.511675189990909	0.00522917505611789
LAYING	test	2295	-0.517273409384848	0.00422620233702307
LAYING	test	2296	-0.518951909136364	0.00279492854329348
LAYING	test	2297	-0.51961687319697	0.00277615984714078
LAYING	test	2298	-0.515081164224545	0.0055263005122891
LAYING	test	2299	-0.513900393187879	0.00575346404500789
LAYING	test	2300	-0.51810548330303	0.00405190225478628
LAYING	test	2301	-0.519439167212121	0.00292380042801417
LAYING	test	2302	-0.517788693142424	0.00347675145854578
LAYING	test	2303	-0.515538420784848	0.0051595393284576
LAYING	test	2304	-0.450302575109091	0.0757578641495234
LAYING	test	2305	-0.485515250181818	0.0285106850028404
LAYING	test	2306	-0.504261280527273	0.0142410811332235
LAYING	test	2307	-0.511415276757576	0.00830975330051969
LAYING	test	2308	-0.513690626136364	0.00681418750813562
LAYING	test	2309	-0.513494536566667	0.00334358104309257
LAYING	test	2310	-0.512730701457576	0.00348329544199176
LAYING	test	2311	-0.510710775060606	0.00967162526137274
LAYING	test	2312	-0.506442769618182	0.013012548291462
LAYING	test	2313	-0.505948437757576	0.0136333811736616
LAYING	test	2314	-0.511542661687879	0.01185928157357
LAYING	test	2315	-0.514131355030303	0.012931677483071
LAYING	test	2316	-0.514825754793939	0.00488439269750758
LAYING	test	2317	-0.513717628835758	0.00451048465377402
LAYING	test	2458	-0.332817647090909	0.375822507537534
LAYING	test	2459	-0.467834520060606	0.0465012229716153
LAYING	test	2460	-0.487088353824151	0.0298019488502556
LAYING	test	2461	-0.497897196309091	0.0181379593891536
LAYING	test	2462	-0.503394495333333	0.00747231246645461
LAYING	test	2463	-0.505047367933333	0.00438788228732014
LAYING	test	2464	-0.502960238030303	0.00503094747748899
LAYING	test	2465	-0.503501134545455	0.005846284829128
LAYING	test	2466	-0.505251120424242	0.00457583195165062
LAYING	test	2467	-0.506351023766667	0.00234396115611581
LAYING	test	2468	-0.502521233939394	0.00811712285485918
LAYING	test	2469	-0.498043620212121	0.0116974452591769
LAYING	test	2470	-0.498529286636364	0.0135010607777056
LAYING	test	2471	-0.503816462042424	0.00586731926655738
LAYING	test	2472	-0.506608817185151	0.00424649241915763
LAYING	test	2473	-0.505933698348485	0.00410307584102209
LAYING	test	2474	-0.502459188590909	0.00884955148216032
LAYING	test	2475	-0.501929432806061	0.00860867520953391
LAYING	test	2476	-0.478378615515152	0.0432896059089225
LAYING	test	2477	-0.502432756127273	0.052739075361705
LAYING	test	2478	-0.515662125818182	0.00875884031957558
LAYING	test	2479	-0.517016111824242	0.00687767126621317
LAYING	test	2480	-0.515952337121212	0.00373837861256733
LAYING	test	2481	-0.517944959545454	0.00471569024259861
LAYING	test	2482	-0.516540980106061	0.00382947054758838
LAYING	test	2483	-0.5163022907	0.00368607522366449
LAYING	test	2484	-0.517478795884848	0.0032077361110382
LAYING	test	2485	-0.517919601575758	0.00420336797523527
LAYING	test	2486	-0.518903358775758	0.00456140833740625
LAYING	test	2487	-0.519353640669697	0.00325164629387763
LAYING	test	2488	-0.519310318254545	0.00382052532929369
LAYING	test	2489	-0.5184949452	0.00414241724811054
LAYING	test	2490	-0.518326432560303	0.00401318672945278
LAYING	test	2491	-0.51821740190303	0.0037923278039334
LAYING	test	2492	-0.519210735973333	0.00401427407197643
LAYING	test	2493	-0.516014349121212	0.00808322832497829
LAYING	test	2494	-0.499262259030303	0.0335723349991446
LAYING	test	2634	-0.473519324787879	0.0321064471193738
LAYING	test	2635	-0.501355166390909	0.0290580330844315
LAYING	test	2636	-0.505384874754545	0.0126625277192077
LAYING	test	2637	-0.507233839424242	0.0133079428596204
LAYING	test	2638	-0.506572656230303	0.0104176713060212
LAYING	test	2639	-0.505697203821212	0.012992737362258
LAYING	test	2640	-0.504216059363636	0.0127923564723622
LAYING	test	2641	-0.504110752184848	0.0127983148342271
LAYING	test	2642	-0.504829444357576	0.0127230256977551
LAYING	test	2643	-0.502915284209091	0.00863371418981679
LAYING	test	2644	-0.503302337324242	0.00720068593052678
LAYING	test	2645	-0.504860977824242	0.008098713438435
LAYING	test	2646	-0.506659421348485	0.00685124641010494
LAYING	test	2647	-0.504197139784848	0.00996376045203233
LAYING	test	2648	-0.503399901542727	0.0103346950176688
LAYING	test	2649	-0.504244392969697	0.0112627467941031
LAYING	test	2650	-0.50438285520303	0.0114969755122895
LAYING	test	2651	-0.501210368334545	0.0122408565136268
LAYING	test	2652	-0.490952595060606	0.0352152269912306
LAYING	test	2653	-0.502231699333333	0.0135166301517205
LAYING	test	2654	-0.466586289393939	0.0560720423133557
LAYING	test	2655	-0.46525443199697	0.0558805097308122
LAYING	test	2656	-0.49552431569697	0.0147113080720164
LAYING	test	2657	-0.508489292163636	0.00687066933448149
LAYING	test	2658	-0.508823714325151	0.00404364445339916
LAYING	test	2659	-0.503132645069697	0.008972115570975
LAYING	test	2660	-0.503272927142424	0.00970828342984199
LAYING	test	2661	-0.507876789474848	0.00666653568552988
LAYING	test	2662	-0.508977280878788	0.00596260732927237
LAYING	test	2663	-0.507411933727273	0.00614308355301221
LAYING	test	2664	-0.507916958730303	0.00465267086570563
LAYING	test	2665	-0.508798824727273	0.00646198613527795
LAYING	test	2666	-0.506903580224242	0.00842740311831918
LAYING	test	2667	-0.505588470124242	0.00711196859834874
LAYING	test	2668	-0.506780818515152	0.00731583813333089
LAYING	test	2669	-0.506572788115151	0.00818365335678697
LAYING	test	2824	-0.445737479666667	0.0564523959760294
LAYING	test	2825	-0.486065919090909	0.0344047472415342
LAYING	test	2826	-0.494640589151515	0.0166246297265217
LAYING	test	2827	-0.498066873727273	0.0130105128543178
LAYING	test	2828	-0.499787100181818	0.0133604295845897
LAYING	test	2829	-0.498606658627273	0.0120848708754533
